sample_id,headline,news_desk,pub_date,full_text_words
38,"China’s Rebound Hits a Wall, and There Is ‘No Quick Fix’ to Revive It",Business,2023-06-19 18:19:24,1357
39,China’s Plan to Spur Growth: A New Slogan for Building Factories,Business,2024-03-24 05:12:31,1128
40,Lies on Social Media Inflame Israeli-Palestinian Conflict,Business,2021-05-14 09:00:27,1004
41,"A Hong Kong Website Gets Blocked, Raising Censorship Fears",Business,2021-01-09 16:28:54,1268
42,Japanese Supercomputer Is Crowned World’s Speediest,Business,2020-06-22 15:01:29,639
43,China’s Communist Party Congress: What It Means for Business,Business,2022-10-08 12:00:03,1912
44,Trump Officially Orders TikTok’s Chinese Owner to Divest,Business,2020-08-15 02:37:49,458
45,"As Red States Curb Social Media, Did Montana’s TikTok Ban Go Too Far?",Business,2023-10-12 09:02:05,1373
46,‘Who Are Our Enemies?’ China’s Bitter Youths Embrace Mao.,Business,2021-07-08 09:00:18,1462
47,China Frees Banks to Lend More in Latest Attempt to Spur Economy,Business,2023-09-14 12:12:30,511
48,"China Uses ‘Deceptive’ Methods to Sow Disinformation, U.S. Says",Business,2023-09-28 19:45:09,1082
49,China Factory Fire Kills 38,Business,2022-11-22 08:07:57,496
50,Hong Kong Police Arrest Organizers of Tiananmen Square Vigil,Foreign,2021-09-08 01:48:40,618
51,U.S. Vows to Continue Patrols Near China and Urges Nuclear Talks,Foreign,2023-06-03 13:40:32,1349
52,China’s New U.S. Ambassador Is Likely to Reflect Beijing’s Confidence,Foreign,2021-07-28 22:29:38,1246
53,How the Coronavirus Numbers Changed So Sharply,Foreign,2020-02-13 19:54:33,1182
54,"U.K. Sees Myriad Domestic Threats, Mainly From Iran, Russia and China",Foreign,2022-11-16 19:42:04,866
55,Hong Kong Officer Is Summoned to Face Charges Over Shooting of Protester,Foreign,2020-06-11 12:18:59,666
56,Three cities in China impose partial lockdowns as new cases are reported.,Foreign,2022-07-11 11:35:31,492
57,"To Slow Virus, China Bars Entry by Almost All Foreigners",Foreign,2020-03-26 19:36:13,823
58,"In Hong Kong, Foreign Tourists Are Replaced by a Local Variety",Foreign,2021-03-06 10:00:22,1554
59,"Hong Kong, One of World’s Last Holdouts, Ends Its Mask Mandate",Foreign,2023-02-28 02:09:54,804
60,Experts See a Message in Chinese Balloons Flying Over Taiwan,Foreign,2024-01-04 13:43:25,1073
61,21 Runners Dead After Extreme Weather Hits Chinese Ultramarathon,Foreign,2021-05-23 10:49:50,697
62,Businesses ‘Getting Killed’ on Russian Border as Coronavirus Fears Rise,Foreign,2020-02-24 10:00:24,1645
63,"The G7 leaders get down to business, taking on climate change and the pandemic.",Foreign,2021-06-12 08:24:49,564
64,Germany Arrests Aide to E.U. Lawmaker on Suspicion of Spying for China,Foreign,2024-04-23 10:33:52,954
65,"As Omicron Surges and Economy Suffers, China Tweaks ‘Zero Covid’",Foreign,2022-03-20 09:00:14,1589
66,"In China, Blinken Faces Clashing Agendas and a Question: Will Xi Show Up?",Foreign,2023-06-17 23:30:39,1268
67,"The Hong Kong police, citing the pandemic, block Tiananmen anniversary events.",Foreign,2021-05-27 10:41:36,265
68,"Chinese Military Drills Aim to Awe, Both Abroad and at Home",Foreign,2022-08-06 04:28:42,1294
69,"For China’s Xi and Other Strongmen, Gorbachev Showed Exactly What Not to Do",Foreign,2022-09-01 19:50:44,1287
70,A History Museum Shows How China Wants to Remake Hong Kong,Foreign,2024-08-23 04:01:12,1159
71,Hong Kong Police Arrest Activist for Violating 2019 Mask Ban,Foreign,2020-09-24 11:09:18,957
72,A Pacific Island With Ties to Taiwan Was Hacked. Was It Political?,Foreign,2024-06-02 04:01:22,1154
73,‘This Drop Came So Quickly’: Shrinking Schools Add to Hong Kong Exodus,Foreign,2021-10-11 09:00:15,1361
74,China Charges Hong Kong Activists Caught Fleeing to Taiwan,Foreign,2020-12-16 12:46:41,754
75,"With Tensions Mounting, Biden and Xi Try a Warmer Tone",Foreign,2022-11-14 20:34:42,1748
76,‘Wild Swimming’ in Restricted Beijing Offers Refreshing Break From Rules,Foreign,2022-06-25 14:10:13,1544
77,He Warned of Coronavirus. Here’s What He Told Us Before He Died.,Foreign,2020-02-07 20:26:46,649
78,"Xi and Macron Call for Ukraine Peace Talks, but the Path Is Murky",Foreign,2023-04-06 20:10:16,1635
79,Lockdowns spread in China as the virus surges in Shanghai and over a dozen provinces.,Foreign,2022-03-11 10:54:55,520
